device_brand,os,screen_size,Screen Damage,Charger Availability,rear_camera_mp,front_camera_mp,Storage (GB),RAM (GB),battery,weight,Year of Release,days_used,normalized_used_price,normalized_new_price,,Age (Years),Keyword Working,Battery Health (%),Old Phone Selling Price (Rs),Charger Availability
Honor,Android,16.74,1,0,13,16,64,4,4000,206,2019,421,4.777020443,5.193179048,,1.153424658,0,55.17241379,716.5530665,1
Honor,Android,14.5,1,0,13,5,32,2,3020,146,2019,532,4.248638089,4.792313433,,1.457534247,0,41.65517241,637.2957134,1
Honor,Android,25.43,1,0,5,2,32,3,5100,173,2019,266,4.267877613,5.517051209,,0.728767123,0,70.34482759,640.181642,1
Honor,Android,20.32,1,0,8,8,32,3,5100,173,2019,321,4.556295018,5.304001183,,0.879452055,0,70.34482759,683.4442527,1
Others,Android,20.32,0,0,8,0.3,16,1,5680,453.6,2013,933,4.45213555,5.48438191,,2.556164384,0,78.34482759,667.8203325,0
HTC,Android,15.29,1,0,13,16,32,3,3850,170,2019,187,4.560800238,5.195730778,,0.512328767,0,53.10344828,684.1200357,1
HTC,Android,12.88,1,0,13,13,64,4,3075,150,2019,499,4.595624773,5.39771011,,1.367123288,0,42.4137931,689.343716,1
HTC,Android,15.29,1,0,13,8,32,3,3300,160,2019,497,4.426521875,5.006091654,,1.361643836,0,45.51724138,663.9782813,1
HTC,Android,15.24,1,0,13,14.5,128,6,3930,180,2019,202,5.213467289,6.039968956,,0.553424658,0,54.20689655,782.0200934,1
HTC,Android,15.29,1,0,13,16,64,4,3850,170,2019,493,4.636668853,5.631426812,,1.350684932,1,53.10344828,695.500328,1
Huawei,Android,15.37,1,1,10.5,16,128,6,4000,192,2020,91,4.905496976,5.520380334,,0.249315068,1,55.17241379,735.8245464,1
Huawei,Android,15.37,1,1,10.5,16,64,6,4000,182,2020,299,4.820442843,5.39603374,,0.819178082,0,55.17241379,723.0664265,1
Huawei,Android,15.32,1,0,10.5,16,128,4,4000,163,2020,354,4.577901759,5.558024257,,0.969863014,0,55.17241379,686.6852639,1
Huawei,Android,15.32,1,0,10.5,16,128,4,4000,163,2020,306,4.872828107,5.478970866,,0.838356164,0,55.17241379,730.9242161,1
Huawei,Android,20.32,1,0,5,2,16,2,5100,310,2020,231,4.170533701,4.598246271,,0.632876712,1,70.34482759,625.5800552,1
Huawei,Android,15.37,1,1,10.5,16,128,8,4000,189,2020,205,4.709440107,5.765661212,,0.561643836,0,55.17241379,706.4160161,1
Huawei,Android,25.5,1,0,8,8,64,4,7250,450,2020,211,5.133088887,5.51877732,,0.578082192,1,100,769.9633331,1
Huawei,Android,16.71,1,1,10.5,16,256,8,4200,226,2020,120,6.153455837,7.244220373,,0.328767123,0,57.93103448,923.0183756,1
Huawei,Android,16.23,1,0,10.5,8,64,4,4000,176,2020,161,4.644390899,5.0681492,,0.44109589,1,55.17241379,696.6586349,1
Huawei,Android,25.6,1,1,13,8,128,6,7250,460,2020,139,5.18245748,6.310336373,,0.380821918,0,100,777.368622,1
Huawei,Android,16.23,1,0,10.5,8,64,4,4000,176,2020,93,4.322143925,4.95342982,,0.254794521,0,55.17241379,648.3215888,1
Huawei,Android,16.74,1,0,13,16,128,6,4000,206,2019,460,5.065439086,5.672429397,,1.260273973,0,55.17241379,759.8158629,1
Huawei,Android,15.34,1,0,13,16,128,8,4200,183,2019,223,4.931375613,5.634110801,,0.610958904,0,57.93103448,739.706342,1
Huawei,Android,25.6,1,0,13,8,128,6,7250,460,2019,256,4.997685135,6.107267847,,0.701369863,0,100,749.6527703,1
Huawei,Android,15.9,1,0,13,32,64,6,4000,178,2019,206,4.99653637,5.294560318,,0.564383562,0,55.17241379,749.4804555,1
Huawei,Android,15.32,1,0,13,16,64,6,4000,163,2019,488,4.537426534,5.306731865,,1.336986301,0,55.17241379,680.6139801,1
Huawei,Android,16.23,1,0,13,8,64,4,4000,176,2019,516,4.705286977,5.010968572,,1.41369863,1,55.17241379,705.7930466,1
Huawei,Android,16.59,1,1,13,16,512,12,4500,198,2019,289,5.674182005,7.438006989,,0.791780822,1,62.06896552,851.1273008,1
Huawei,Android,16.81,1,1,13,16,128,6,4200,196,2019,477,5.380450196,6.477264628,,1.306849315,0,57.93103448,807.0675294,1
Huawei,Android,16.81,1,0,13,16,128,6,4200,196,2019,195,5.014826499,6.313729189,,0.534246575,0,57.93103448,752.2239749,1
Huawei,Android,15.9,1,0,13,32,128,6,4000,178,2019,244,5.143474781,5.67029463,,0.668493151,0,55.17241379,771.5212172,1
Huawei,Android,16.74,1,0,13,16,128,4,4000,163.5,2019,376,4.839293241,5.250281918,,1.030136986,0,55.17241379,725.8939862,1
Huawei,Android,25.6,1,0,13,8,64,4,7500,498,2019,205,4.936629881,5.704781975,,0.561643836,0,103.4482759,740.4944822,1
Huawei,Android,20.42,1,0,13,8,128,6,6100,340,2019,406,5.294259143,5.856932654,,1.112328767,0,84.13793103,794.1388715,1
Huawei,Android,20.42,1,0,13,8,64,4,6100,320,2019,462,5.001190835,5.556287375,,1.265753425,0,84.13793103,750.1786253,1
Huawei,Android,16.23,1,0,13,32,128,8,3500,171,2019,333,5.428204627,5.9652489,,0.912328767,0,48.27586207,814.2306941,1
Huawei,Android,16.23,1,0,13,32,128,8,3500,171,2019,284,5.378560054,5.885520528,,0.778082192,0,48.27586207,806.7840081,1
Huawei,Android,15.34,1,0,13,24,128,6,4000,178,2019,202,5.058853866,5.562948291,,0.553424658,0,55.17241379,758.8280799,1
Huawei,Android,15.34,1,0,13,16,64,4,4000,178,2019,445,5.043683148,5.637785112,,1.219178082,0,55.17241379,756.5524722,1
Huawei,Android,16.74,1,0,13,16,64,4,4000,196.8,2019,375,4.607467545,5.638105528,,1.02739726,0,55.17241379,691.1201318,1
Huawei,Android,10.16,0,0,5,2,16,4,1700,136.1,2014,666,3.579343567,4.70311326,,1.824657534,0,23.44827586,536.9015351,0
Huawei,Android,17.78,0,0,3.15,0.3,8,1,4100,350,2013,819,3.982295058,5.016551095,,2.243835616,0,56.55172414,597.3442587,0
Infinix,Android,17.32,1,0,,8,32,2,6000,209,2020,245,4.282068168,4.59764192,,0.671232877,0,82.75862069,642.3102252,1
Infinix,Android,15.39,1,0,,8,64,4,5000,185,2020,173,4.363608049,4.711779921,,0.473972603,0,68.96551724,654.5412074,1
Infinix,Android,15.39,1,0,,8,32,2,5000,185,2020,256,4.181439269,4.505460342,,0.701369863,0,68.96551724,627.2158904,1
Infinix,Android,15.39,1,0,,16,32,3,4000,178,2019,316,4.555244377,4.602165677,,0.865753425,0,55.17241379,683.2866566,1
Infinix,Android,15.29,1,0,,16,32,2,4000,165,2019,468,4.416669578,4.871296595,,1.282191781,0,55.17241379,662.5004367,1
Lava,Android,14.5,1,0,,5,32,2,3200,150,2020,356,3.989909544,4.381026134,,0.975342466,0,44.13793103,598.4864316,1
Lava,Android,12.7,0,0,5,0.3,8,0.5,3000,147.6,2016,819,3.495598057,4.113002744,,2.243835616,0,41.37931034,524.3397086,0
Lenovo,Android,25.43,1,0,8,5,32,3,7000,520,2020,233,4.726768158,5.20136584,,0.638356164,0,96.55172414,709.0152237,1
Lenovo,Android,25.43,0,0,8,5,64,4,7000,580,2019,419,5.214881408,5.775141434,,1.147945205,0,96.55172414,782.2322112,0
Lenovo,Android,15.47,1,0,8,5,16,2,4000,172,2019,267,3.940610462,4.591071262,,0.731506849,0,55.17241379,591.0915693,1
Lenovo,Android,20.32,1,0,13,5,16,2,5100,305,2019,461,4.779375562,5.066133071,,1.263013699,0,70.34482759,716.9063343,1
Lenovo,Android,20.32,1,0,5,2,16,2,5000,305,2019,423,4.463721822,4.938064601,,1.15890411,0,68.96551724,669.5582733,1
Lenovo,Android,17.78,1,0,2,2,32,1,3590,236,2019,528,3.896096855,4.606768907,,1.446575342,0,49.51724138,584.4145283,1
Lenovo,Android,16.23,1,0,8,16,64,6,4000,159,2019,254,4.423648309,5.524974737,,0.695890411,1,55.17241379,663.5472464,1
Lenovo,Android,16.23,1,1,8,32,128,6,4000,185,2019,370,5.342812606,5.992264227,,1.01369863,0,55.17241379,801.4218909,1
Lenovo,Android,15.32,1,0,8,16,64,4,4050,164,2019,482,4.676839473,5.062468443,,1.320547945,0,55.86206897,701.525921,1
Lenovo,Android,25.43,1,0,8,8,16,2,8400,655,2016,691,5.056182109,5.191233144,,1.893150685,0,115.862069,758.4273164,1
LG,Android,16.59,1,0,5,16,64,4,4000,196.5,2020,273,4.879082894,5.601491318,,0.747945205,0,55.17241379,731.8624341,1
LG,Android,15.44,1,0,5,13,64,3,4000,219,2020,349,4.350148896,5.299466706,,0.956164384,0,55.17241379,652.5223344,1
LG,Others,5.28,1,0,2,13,8,1,1470,127,2020,343,3.875566468,5.015689168,,0.939726027,1,20.27586207,581.3349702,1
LG,Android,15.44,1,1,5,10,128,8,5000,218,2020,352,4.734442522,6.768240306,,0.964383562,1,68.96551724,710.1663783,1
LG,Android,15.44,1,1,5,10,128,8,5000,213,2020,142,5.476463552,6.55079458,,0.389041096,0,68.96551724,821.4695328,1
LG,Android,15.37,1,0,5,13,32,3,4000,196.5,2020,92,4.636959508,5.481430277,,0.252054795,0,55.17241379,695.5439262,1
LG,Android,14.5,1,0,8,8,32,3,3450,170,2020,166,4.230767603,4.870683334,,0.454794521,0,47.5862069,634.6151405,1
LG,Android,25.43,1,0,8,5,32,4,8200,498,2019,329,4.709620287,5.82953368,,0.901369863,1,113.1034483,706.4430431,1
LG,Android,15.34,1,1,8,32,256,8,4000,192,2019,383,5.467680322,7.003174544,,1.049315068,0,55.17241379,820.1520483,1
LG,Android,15.34,1,0,8,16,64,4,4000,198,2019,443,4.696928611,5.766225051,,1.21369863,0,55.17241379,704.5392917,1
LG,Android,13.84,1,0,8,5,16,2,3000,148,2019,257,4.255328982,4.944353031,,0.704109589,0,41.37931034,638.2993473,1
LG,Android,13.84,1,0,8,5,16,1,3000,152,2019,380,4.08933202,4.606369467,,1.04109589,0,41.37931034,613.399803,1
LG,Android,15.27,1,0,8,13,32,2,3500,186,2019,255,4.64352514,5.082211493,,0.698630137,0,48.27586207,696.528771,1
LG,Android,15.37,1,0,8,13,32,3,4000,194,2019,512,4.550608398,5.304299438,,1.402739726,0,55.17241379,682.5912597,1
LG,Android,15.8,1,0,8,16,64,4,4050,172,2019,223,4.461877016,5.248023572,,0.610958904,0,55.86206897,669.2815524,1
LG,Android,15.9,1,0,8,16,32,3,4000,175,2019,200,4.582310892,4.864607093,,0.547945205,0,55.17241379,687.3466338,1
LG,Android,15.72,1,0,8,8,32,3,4000,164,2019,210,4.373994463,4.694645192,,0.575342466,0,55.17241379,656.0991695,1
LG,Android,15.29,1,0,13,5,32,3,3500,179,2019,216,4.517649588,5.300415165,,0.591780822,0,48.27586207,677.6474382,1
LG,Android,15.29,1,0,16,5,64,4,3300,172,2018,724,4.887940214,5.704049106,,1.983561644,0,45.51724138,733.1910321,1
LG,Android,12.83,1,0,13,5,16,2,4500,171,2018,628,4.358630057,5.191066176,,1.720547945,0,62.06896552,653.7945086,1
LG,Android,7.62,0,0,2,1.3,4,0.5,1540,140.45,2014,750,3.027715319,3.925925911,,2.054794521,1,21.24137931,454.1572979,0
Meizu,Android,15.39,1,1,,20,128,8,4500,199,2020,186,5.167866937,6.272027589,,0.509589041,0,62.06896552,775.1800406,1
Meizu,Android,15.37,1,0,,16,128,6,4500,183,2019,449,4.665512415,5.526329049,,1.230136986,0,62.06896552,699.8268623,1
Meizu,Android,15.37,1,0,,8,32,2,4000,184,2019,190,4.290185431,5.195176608,,0.520547945,0,55.17241379,643.5278147,1
Meizu,Android,15.29,1,0,,20,128,6,3600,166,2019,459,4.721084811,5.830679408,,1.257534247,0,49.65517241,708.1627217,1
Meizu,Android,15.29,1,0,,16,64,6,4000,165,2019,517,4.842295535,5.388660686,,1.416438356,0,55.17241379,726.3443303,1
Meizu,Android,15.29,1,0,,20,128,6,3600,165,2019,332,4.959412173,6.040659391,,0.909589041,0,49.65517241,743.911826,1
Micromax,Android,10.16,0,0,2,0.3,0.5,0.25,1500,146.5,2014,1016,3.043569603,3.926714554,,2.783561644,0,20.68965517,456.5354405,0
Micromax,Android,7.75,0,0,0.3,0.3,0.5,0.25,1500,89,2014,956,2.386926241,3.664842876,,2.619178082,0,20.68965517,358.0389362,0
Micromax,Android,10.03,0,0,2,0.3,0.2,0.25,2000,85,2013,680,2.856470206,4.244630641,,1.863013699,0,27.5862069,428.4705309,0
Micromax,Android,10.16,0,0,2,0.3,16,4,2000,89,2013,733,3.108614431,4.094844437,,2.008219178,0,27.5862069,466.2921647,0
Micromax,Android,7.75,0,0,0.3,0.3,16,4,2000,89,2013,1029,2.989714201,3.884240624,,2.819178082,0,27.5862069,448.4571302,0
Motorola,Android,15.37,1,0,,16,128,6,5000,210,2020,242,4.829672813,5.704848573,,0.663013699,1,68.96551724,724.450922,1
Motorola,Android,15.42,1,1,,25,256,12,5000,203,2020,220,5.186882886,7.090784918,,0.602739726,0,68.96551724,778.0324329,1
Nokia,Android,16.56,1,0,0.3,8,64,3,4000,200,2020,310,4.186011751,5.004885462,,0.849315068,0,55.17241379,627.9017627,1
Nokia,Android,13.84,1,0,0.3,5,16,2,3000,180,2020,193,3.616308761,4.100160948,,0.528767123,0,41.37931034,542.4463142,1
Nokia,Android,13.84,1,0,0.3,5,16,2,3000,180,2020,356,4.055430469,4.591983624,,0.975342466,0,41.37931034,608.3145704,1
Nokia,Others,5.18,0,0,0.3,0,0.1,0.03,1020,90.5,2020,272,2.910174385,3.399863159,,0.745205479,0,14.06896552,436.5261578,0
Nokia,Others,5.18,0,0,0.3,0,0.06,,1020,91.3,2020,288,2.729159164,2.911263117,,0.789041096,1,14.06896552,409.3738746,0
Nokia,Android,17.3,1,1,0.3,24,64,6,4500,220,2020,284,5.314043067,6.216845593,,0.778082192,0,62.06896552,797.1064601,1
Nokia,Others,5.18,0,0,0.3,0,0.06,0.02,1200,88.2,2020,266,3.370738174,3.699077279,,0.728767123,0,16.55172414,505.6107261,0
Nokia,Others,5.18,1,0,0.3,0,,0.02,1200,86.5,2019,234,2.721295428,3.688379329,,0.64109589,1,16.55172414,408.1943142,1
OnePlus,Android,16.64,1,1,,16,128,8,4300,180,2020,110,5.620944196,6.609308811,,0.301369863,1,59.31034483,843.1416294,1
OnePlus,Android,16.64,1,1,,16,128,8,4300,180,2020,208,5.288166015,6.474106722,,0.569863014,1,59.31034483,793.2249023,1
OnePlus,Android,16.94,1,1,,16,256,12,4085,206,2019,458,5.713402718,6.686160528,,1.254794521,1,56.34482759,857.0104077,1
OnePlus,Android,16.94,1,1,,16,128,6,4000,206,2019,294,5.670983763,6.686647155,,0.805479452,1,55.17241379,850.6475645,1
Oppo,Android,16.64,1,1,,32,128,8,4000,172,2020,187,5.170881643,6.153455837,,0.512328767,1,55.17241379,775.6322465,1
Oppo,Android,16.33,1,1,,32,128,8,4000,183,2020,271,5.009634794,5.910254492,,0.742465753,1,55.17241379,751.4452191,1
Oppo,Android,16.69,1,1,,32,128,6,4000,184,2020,100,5.033895988,5.672842052,,0.273972603,1,55.17241379,755.0843982,1
Oppo,Android,16.64,1,1,,16,128,8,4000,186,2020,186,5.116615618,6.253482598,,0.509589041,0,55.17241379,767.4923427,1
Oppo,Android,15.29,1,0,,8,64,3,4230,168,2020,273,4.578312732,4.782479201,,0.747945205,1,58.34482759,686.7469098,1
Oppo,Android,15.34,1,1,,32,128,8,4025,180,2020,146,5.412315471,5.98838481,,0.4,1,55.51724138,811.8473207,1
Oppo,Android,15.34,1,1,8,32,128,8,4025,181,2019,397,4.868380247,6.088023946,,1.087671233,0,55.51724138,730.2570371,1
Oppo,Android,15.37,1,0,8,8,128,4,4230,180,2019,411,4.57037168,5.01588814,,1.126027397,0,58.34482759,685.555752,1
Oppo,Android,15.34,1,0,8,25,128,6,3600,169.5,2019,276,4.936199063,5.632572862,,0.756164384,0,49.65517241,740.4298595,1
Oppo,Android,15.34,1,0,8,32,128,4,4035,186,2019,205,4.94178527,5.800667172,,0.561643836,0,55.65517241,741.2677905,1
Oppo,Android,16.59,1,0,8,16,128,6,4020,190,2019,321,4.656718448,5.556287375,,0.879452055,1,55.44827586,698.5077672,1
Oppo,Android,15.39,1,1,8,16,256,8,4065,215,2019,392,5.295613715,6.780830585,,1.073972603,0,56.06896552,794.3420573,1
Oppo,Android,15.27,1,0,8,5,32,2,4000,170,2019,296,4.322011202,4.605670061,,0.810958904,0,55.17241379,648.3016803,1
Oppo,Android,15.29,1,0,13,8,32,3,4230,168,2018,664,4.457713717,5.437252881,,1.819178082,0,58.34482759,668.6570576,1
Oppo,Android,10.29,1,0,8,5,8,1,2000,135,2015,1076,4.02463715,5.009968405,,2.947945205,1,27.5862069,603.6955725,1
Others,Android,16.43,1,1,8,20,128,6,4000,171,2019,317,5.570212986,6.803360963,,0.868493151,0,55.17241379,835.5319479,1
Realme,Android,15.37,1,0,,16,64,4,4300,191,2020,289,4.702659807,5.302060353,,0.791780822,0,59.31034483,705.3989711,1
Realme,Android,15.37,1,0,,16,128,4,5000,199,2020,338,4.941570991,5.0141624,,0.926027397,0,68.96551724,741.2356487,1
Realme,Android,15.37,1,0,,5,32,3,5000,195,2020,111,4.498364182,4.606569207,,0.304109589,0,68.96551724,674.7546273,1
Realme,Android,15.27,1,0,,5,32,3,4000,166,2020,167,2.896464272,3.690877457,,0.457534247,0,55.17241379,434.4696408,1
Realme,Android,15.27,1,0,,5,32,2,4000,166,2019,399,4.288677032,4.611351045,,1.093150685,0,55.17241379,643.3015548,1
Samsung,Android,20.32,1,0,5,2,16,1.5,4200,313,2015,909,4.32611744,5.348202169,,2.490410959,0,57.93103448,648.917616,1
Others,Android,15.34,1,0,2,8,256,8,3130,141,2020,135,4.915665057,6.508292123,,0.369863014,0,43.17241379,737.3497586,1
Others,Android,12.93,1,0,8,8,64,4,3090,173,2019,523,4.180522258,5.34563025,,1.432876712,1,42.62068966,627.0783387,1
Others,Android,16.59,1,1,2,16,128,6,4500,210,2020,234,5.020849617,5.985371019,,0.64109589,0,62.06896552,753.1274426,1
Others,Android,16.59,1,0,8,24,128,6,3820,192,2019,414,5.036303041,5.802239214,,1.134246575,0,52.68965517,755.4454562,1
Others,Android,17.78,1,0,2,16,64,4,6000,220,2020,135,4.378896742,4.80557721,,0.369863014,0,82.75862069,656.8345113,1
Others,Android,15.39,1,0,2,8,32,2,5000,206.5,2020,153,4.084294226,4.791151704,,0.419178082,0,68.96551724,612.6441339,1
Others,Android,15.39,1,0,2,16,128,6,4000,203,2020,125,4.919469846,5.393172898,,0.342465753,0,55.17241379,737.9204769,1
Others,Android,12.83,1,0,2,5,16,2,2700,153,2020,123,3.629394807,4.246493239,,0.336986301,0,37.24137931,544.4092211,1
Others,Android,12.7,1,0,2,5,32,4,4000,234,2020,220,3.974809994,4.699388861,,0.602739726,0,55.17241379,596.2214991,1
Others,Android,12.7,1,0,13,5,16,2,4000,234,2020,173,4.29374172,4.382276603,,0.473972603,0,55.17241379,644.061258,1
Others,Android,15.42,1,0,12,16,128,8,5000,159,2018,413,5.175471537,5.700042155,,1.131506849,0,68.96551724,776.3207306,1
Vivo,Android,16.36,1,0,,32,128,8,4500,176,2020,343,5.052864298,5.766694674,,0.939726027,0,62.06896552,757.9296447,1
Vivo,Android,16.59,1,0,,16,64,4,5000,204.1,2020,246,4.801065863,5.068904202,,0.673972603,1,68.96551724,720.1598795,1
Vivo,Android,16.66,1,1,,32,128,8,4315,181.5,2020,145,5.560335417,6.446116566,,0.397260274,0,59.51724138,834.0503126,1
Vivo,Android,16.21,1,0,,16,128,8,4500,190.2,2020,300,4.847331743,5.702781974,,0.821917808,0,62.06896552,727.0997615,1
Vivo,Android,16.43,1,0,,8,128,4,5000,197,2020,118,4.823260994,5.249652195,,0.323287671,1,68.96551724,723.4891491,1
Vivo,Android,16.69,1,1,,16,128,6,4500,198.1,2020,312,4.95434709,5.857447322,,0.854794521,1,62.06896552,743.1520635,1
Vivo,Android,17.5,1,1,,16,256,8,4500,219.5,2020,226,5.466878008,6.447290015,,0.619178082,0,62.06896552,820.0317012,1
Vivo,Android,16.36,1,0,,32,128,8,4500,176,2020,199,5.192623462,5.599199434,,0.545205479,1,62.06896552,778.8935193,1
Vivo,Android,16.36,1,1,13,32,128,8,4350,196.5,2019,279,5.288014474,6.04545545,,0.764383562,0,60,793.2021711,1
Vivo,Android,16.21,1,0,13,16,128,8,4500,198.5,2019,212,4.770599875,5.79331844,,0.580821918,0,62.06896552,715.5899813,1
Vivo,Android,16.59,1,0,13,16,128,8,5000,193,2019,188,5.064302435,5.435249221,,0.515068493,0,68.96551724,759.6453653,1
Vivo,Android,16.21,1,0,13,32,128,8,4500,186.7,2019,264,5.104732617,5.801816215,,0.723287671,0,62.06896552,765.7098926,1
Vivo,Android,16.13,1,0,13,8,64,3,5000,191.5,2019,230,4.417755682,4.886809035,,0.630136986,0,68.96551724,662.6633523,1
Vivo,Android,16.21,1,0,13,16,64,6,4500,198.5,2019,259,4.601664047,5.55971963,,0.709589041,0,62.06896552,690.2496071,1
Vivo,Android,16.13,1,0,13,8,64,4,5000,190,2019,349,4.59360355,4.941928096,,0.956164384,0,68.96551724,689.0405325,1
Vivo,Android,16.13,1,0,13,16,128,4,5000,190.5,2019,500,4.907346705,5.245812813,,1.369863014,1,68.96551724,736.1020058,1
Vivo,Android,17.5,1,1,13,16,256,8,4500,218.5,2019,288,4.94071342,6.594864794,,0.789041096,0,62.06896552,741.107013,1
Vivo,Android,17.5,1,0,13,16,128,8,4500,217.3,2019,391,5.278471738,6.461014949,,1.071232877,1,62.06896552,791.7707607,1
Vivo,Android,16.28,1,1,13,12,128,8,4500,217,2019,204,4.911109575,6.215967174,,0.55890411,0,62.06896552,736.6664363,1
Vivo,Android,16.28,1,0,13,12,128,8,4500,215,2019,293,5.144350003,6.015376367,,0.802739726,0,62.06896552,771.6525005,1
Vivo,Android,15.8,1,0,8,5,16,2,4030,163.5,2019,456,3.966132331,4.485598051,,1.249315068,0,55.5862069,594.9198497,1
Vivo,Android,16.21,1,0,13,32,128,6,4500,179,2019,224,5.206859756,5.635896134,,0.61369863,0,62.06896552,781.0289634,1
Vivo,Android,16.21,1,0,13,12,64,6,4500,198.5,2019,451,4.735671994,5.523458921,,1.235616438,0,62.06896552,710.3507991,1
Vivo,Android,16.59,1,0,13,16,64,4,5000,204.1,2019,338,4.956108708,5.304746654,,0.926027397,0,68.96551724,743.4163062,1
Vivo,Android,16.23,1,0,13,16,128,6,3700,185,2019,455,4.755829062,5.736217396,,1.246575342,0,51.03448276,713.3743593,1
Vivo,Android,15.9,1,0,13,16,64,4,3260,150,2019,431,4.614625345,5.071291288,,1.180821918,0,44.96551724,692.1938018,1
Vivo,Android,16.13,1,0,13,20,128,4,5000,190.5,2019,334,4.761831996,5.440511132,,0.915068493,0,68.96551724,714.2747994,1
Vivo,Android,16.59,1,0,13,16,128,6,3940,189.5,2019,415,5.116315759,5.561604282,,1.136986301,0,54.34482759,767.4473639,1
Vivo,Android,15.8,1,0,13,5,16,2,4030,163.5,2019,266,4.382151627,4.607966273,,0.728767123,0,55.5862069,657.3227441,1
Vivo,Android,10.29,0,0,5,2,4,0.5,1900,130,2013,931,3.379292546,4.6998438,,2.550684932,0,26.20689655,506.8938819,0
Others,Android,12.93,1,0,8,8,32,3,3400,145,2019,407,4.421487704,5.199380619,,1.115068493,0,46.89655172,663.2231556,1
Others,Android,14.4,1,0,13,8,16,2,2920,160,2019,233,4.523526197,5.013098924,,0.638356164,0,40.27586207,678.5289296,1
Others,Android,15.21,1,0,8,5,16,2,4000,185,2019,423,4.131800899,4.405498991,,1.15890411,0,55.17241379,619.7701349,1
Others,Android,15.32,1,0,8,16,128,6,4000,184,2019,470,4.857950206,5.52589109,,1.287671233,0,55.17241379,728.6925309,1
Others,Android,15.9,1,0,8,8,64,3,4000,178,2019,280,4.33781348,5.196616812,,0.767123288,1,55.17241379,650.672022,1
Xiaomi,Android,16.69,1,1,,20,128,8,4520,208,2020,318,4.852498904,5.664244378,,0.871232877,1,62.34482759,727.8748356,1
Xiaomi,Android,16.69,1,1,,16,64,6,4520,205,2020,301,4.977492076,5.301312876,,0.824657534,1,62.34482759,746.6238114,1
Xiaomi,Android,16.94,1,1,,16,128,6,4800,208,2020,319,5.120923648,5.523139508,,0.873972603,1,66.20689655,768.1385472,1
Xiaomi,Android,16.94,1,1,,16,128,6,4500,208,2020,184,5.026246142,5.563792173,,0.504109589,0,62.06896552,753.9369213,1
Xiaomi,Android,16.94,1,0,,32,64,6,5020,209,2020,256,4.966753066,5.198718001,,0.701369863,0,69.24137931,745.0129599,1
Xiaomi,Android,15.8,1,0,,8,32,2,5000,188,2020,265,4.344065128,4.49535532,,0.726027397,0,68.96551724,651.6097692,1
Xiaomi,Android,15.8,1,0,,8,32,2,5000,188,2020,321,3.421000009,4.39222446,,0.879452055,0,68.96551724,513.1500014,1
Xiaomi,Android,16.94,1,0,,16,64,6,4500,208,2020,169,4.967310169,5.295513439,,0.463013699,1,62.06896552,745.0965254,1
Xiaomi,Android,20.12,1,1,12,20,512,12,4050,241,2019,478,6.619433002,7.823341763,,1.309589041,0,55.86206897,992.9149503,1
